,Time;durP1;ratioP1;P1;durP2;ratioP2;P2;SDS_P1;SDS_P2;PMS_P1;PMS_P2;Temp;Humidity;BMP_temperature;BMP_pressure;BME280_temperature;BME280_humidity;BME280_pressure;Samples;Min_cycle;Max_cycle;Signal;HPM_P1;HPM_P2
215,2021/07/27 09:08:10;;;;;;;9.32;6.35;;;25.20;62.90;;;;;;5074596;28;20770;-50
216,2021/07/27 09:10:37;;;;;;;9.65;6.63;;;25.20;62.90;;;;;;5092218;28;20028;-50
217,2021/07/27 09:13:04;;;;;;;7.10;5.75;;;25.20;62.80;;;;;;5074128;28;20031;-48
218,2021/07/27 09:15:31;;;;;;;8.98;6.45;;;25.30;62.60;;;;;;5092231;28;20031;-50
219,2021/07/27 09:18:01;;;;;;;7.78;5.93;;;25.30;62.20;;;;;;5057636;28;20035;-52
220,2021/07/27 09:20:34;;;;;;;8.38;5.97;;;25.30;62.10;;;;;;5091976;28;20024;-53
221,2021/07/27 09:23:01;;;;;;;7.72;6.28;;;25.30;61.90;;;;;;5091985;28;20024;-53
222,2021/07/27 09:25:28;;;;;;;7.78;6.05;;;25.30;61.70;;;;;;5074307;28;20027;-52
223,2021/07/27 09:28:07;;;;;;;7.95;6.03;;;25.40;61.60;;;;;;5091955;28;20462;-54
224,2021/07/27 09:30:33;;;;;;;6.47;5.55;;;25.40;61.40;;;;;;5092069;28;20020;-54
225,2021/07/27 09:32:58;;;;;;;6.10;5.10;;;25.40;61.20;;;;;;5073972;28;20031;-53
226,2021/07/27 09:35:25;;;;;;;7.75;5.63;;;25.40;61.10;;;;;;5091883;28;20024;-55
227,2021/07/27 09:38:14;;;;;;;6.78;5.45;;;25.50;60.90;;;;;;5091734;28;20020;-55
228,2021/07/27 09:40:56;;;;;;;7.68;5.57;;;25.50;60.80;;;;;;5091724;28;20425;-55
229,2021/07/27 09:43:23;;;;;;;6.43;5.35;;;25.50;60.90;;;;;;5091636;28;20174;-54
230,2021/07/27 09:45:54;;;;;;;6.50;5.70;;;25.50;60.80;;;;;;5074009;28;20459;-54
231,2021/07/27 09:48:20;;;;;;;7.05;5.55;;;25.50;60.70;;;;;;5091720;28;20031;-56
232,2021/07/27 09:50:47;;;;;;;6.88;5.68;;;25.50;60.60;;;;;;5091793;28;20061;-55
233,2021/07/27 09:53:13;;;;;;;6.63;5.30;;;25.50;60.50;;;;;;5073752;28;20071;-53
234,2021/07/27 09:55:39;;;;;;;8.05;5.70;;;25.50;60.60;;;;;;5091569;28;20035;-52
235,2021/07/27 09:58:04;;;;;;;7.20;5.68;;;25.50;60.70;;;;;;5091707;28;20391;-50
236,2021/07/27 10:00:30;;;;;;;8.25;6.13;;;25.50;60.60;;;;;;5091496;28;20035;-50
